##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 16:41:46
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.30333281e+00, -3.18602011e-09, 1.46872699e-01, 1.35575906e+05, 1.46417987e+00, 3.60078827e+02, 1.39474297e+00, 1.35575906e+05, 3.22516541e+02, 5.02217255e+02
5.30333281e+00, -8.27907609e-09, 1.46872699e-01, 1.35576031e+05, 1.46418071e+00, 3.60078827e+02, 1.39474237e+00, 1.35576031e+05, 3.22516510e+02, 5.02216888e+02
5.34300900e+00, 1.25787200e-10, 1.69047996e-01, 1.34919297e+05, 1.45670831e+00, 3.60125916e+02, 1.39410937e+00, 1.34919297e+05, 3.22600922e+02, 5.02053864e+02
5.34300900e+00, -1.15909140e-08, 1.69047996e-01, 1.34919781e+05, 1.45671356e+00, 3.60125946e+02, 1.39410901e+00, 1.34919781e+05, 3.22600952e+02, 5.02054138e+02
5.38268518e+00, 3.43759443e-09, 1.91223294e-01, 1.33034594e+05, 1.44215357e+00, 3.59401642e+02, 1.40414226e+00, 1.33034594e+05, 3.21304596e+02, 5.04650421e+02
5.38268518e+00, -1.49027528e-08, 1.91223294e-01, 1.33035406e+05, 1.44216204e+00, 3.59401672e+02, 1.40414166e+00, 1.33035406e+05, 3.21304657e+02, 5.04650787e+02
5.41363621e+00, 3.13008321e-03, 2.02310994e-01, 4.06476016e+04, 4.86786306e-01, 3.41815430e+02, 1.64471626e+00, 4.06476016e+04, 2.90636719e+02, 5.61855835e+02
5.41363621e+00, -3.13008018e-03, 2.02310994e-01, 9.90917188e+04, 1.08061898e+00, 3.58324463e+02, 1.41892028e+00, 9.90917188e+04, 3.19381561e+02, 5.08386292e+02
5.42474794e+00, 3.17499950e-03, 2.02310994e-01, 2.76117363e+04, 3.56237710e-01, 3.29333435e+02, 1.81647015e+00, 2.76117363e+04, 2.69804382e+02, 5.98030090e+02
5.42474794e+00, -3.17499624e-03, 2.02310994e-01, 9.13520313e+04, 1.05756021e+00, 3.47763367e+02, 1.56386447e+00, 9.13520313e+04, 3.00833710e+02, 5.43844055e+02
5.43586111e+00, 3.17499950e-03, 2.02310994e-01, 1.91422188e+04, 2.52367049e-01, 3.25996582e+02, 1.86259127e+00, 1.91422188e+04, 2.64359467e+02, 6.07156311e+02
5.43586111e+00, -3.17499624e-03, 2.02310994e-01, 8.20020313e+04, 9.72855330e-01, 3.43554871e+02, 1.62145615e+00, 8.20020313e+04, 2.93595703e+02, 5.57056335e+02
5.44697285e+00, 3.17499950e-03, 2.02310994e-01, 1.45226973e+04, 1.92096055e-01, 3.25129303e+02, 1.87492406e+00, 1.45226973e+04, 2.63041138e+02, 6.08705017e+02
5.44697285e+00, -3.17499624e-03, 2.02310994e-01, 8.01554375e+04, 9.65484679e-01, 3.40943115e+02, 1.65723288e+00, 8.01554375e+04, 2.89150330e+02, 5.65005432e+02
5.45808601e+00, 3.17499950e-03, 2.02310994e-01, 9.75442090e+03, 1.47420213e-01, 3.06047028e+02, 2.14798212e+00, 9.75442090e+03, 2.33181610e+02, 6.55470703e+02
5.45808601e+00, -3.17499624e-03, 2.02310994e-01, 7.42998516e+04, 9.02723908e-01, 3.39510529e+02, 1.67684007e+00, 7.42998516e+04, 2.86723877e+02, 5.69298828e+02
5.46919823e+00, 3.17499950e-03, 2.02310994e-01, 8.68458105e+03, 1.21240877e-01, 3.16723267e+02, 1.99247813e+00, 8.68458105e+03, 2.49527344e+02, 6.31006592e+02
5.46919823e+00, -3.17499624e-03, 2.02310994e-01, 7.31292500e+04, 8.98851812e-01, 3.37524933e+02, 1.70407104e+00, 7.31292500e+04, 2.83379822e+02, 5.75163208e+02
5.48031092e+00, 3.17499950e-03, 2.02310994e-01, 8.64104688e+03, 1.39696300e-01, 2.94359894e+02, 2.32001948e+00, 8.64104688e+03, 2.15576782e+02, 6.82478027e+02
5.48031092e+00, -3.17499624e-03, 2.02310994e-01, 7.17434531e+04, 9.13843870e-01, 3.31563141e+02, 1.78621721e+00, 7.17434531e+04, 2.73463898e+02, 5.92175964e+02
5.49142313e+00, 3.43447056e-07, 2.02310994e-01, 1.74959531e+04, 2.08371162e-01, 3.42885925e+02, 1.62915885e+00, 1.74959531e+04, 2.92453491e+02, 5.58589966e+02
5.49142313e+00, -3.54910497e-07, 2.02310994e-01, 1.75028516e+04, 2.08460405e-01, 3.42888550e+02, 1.62912214e+00, 1.75028516e+04, 2.92457611e+02, 5.58599976e+02
5.49337196e+00, 1.01430423e-07, 1.79250807e-01, 1.45257461e+04, 2.03652471e-01, 3.15878052e+02, 1.99928498e+00, 1.45257461e+04, 2.48271667e+02, 6.31063904e+02
5.49337196e+00, -1.12896494e-07, 1.79250807e-01, 1.45294277e+04, 2.03705132e-01, 3.15877563e+02, 1.99929368e+00, 1.45294277e+04, 2.48270950e+02, 6.31063538e+02
5.49434614e+00, 2.63377416e-07, 1.67720795e-01, 2.28972949e+04, 2.50583589e-01, 3.57277344e+02, 1.42397368e+00, 2.28972949e+04, 3.17665192e+02, 5.07765076e+02
5.49434614e+00, -2.74845007e-07, 1.67720795e-01, 2.29009063e+04, 2.50629693e-01, 3.57279999e+02, 1.42393374e+00, 2.29009063e+04, 3.17669373e+02, 5.07839111e+02
5.49531984e+00, 4.30185906e-07, 1.56190693e-01, 3.82140352e+04, 3.55431974e-01, 3.87997955e+02, 9.80837524e-01, 3.82140352e+04, 3.74471527e+02, 3.80453156e+02
5.49531984e+00, -4.41655061e-07, 1.56190693e-01, 3.82158828e+04, 3.55458200e-01, 3.87994598e+02, 9.80884552e-01, 3.82158828e+04, 3.74465942e+02, 3.80540894e+02
5.49629498e+00, 2.16712639e-08, 1.44660607e-01, 3.93006680e+04, 3.59054834e-01, 3.91489136e+02, 9.20208991e-01, 3.93006680e+04, 3.81241333e+02, 3.60198395e+02
5.49629498e+00, -3.31365939e-08, 1.44660607e-01, 3.92990000e+04, 3.59038711e-01, 3.91489868e+02, 9.20196831e-01, 3.92990000e+04, 3.81242676e+02, 3.60199677e+02
5.49726915e+00, 1.88479731e-07, 1.33130506e-01, 3.92372969e+04, 3.50195765e-01, 3.96094879e+02, 8.40117455e-01, 3.92372969e+04, 3.90263580e+02, 3.32692230e+02
5.49726915e+00, -1.99946626e-07, 1.33130506e-01, 3.92390078e+04, 3.50218177e-01, 3.96092560e+02, 8.40152800e-01, 3.92390078e+04, 3.90259521e+02, 3.32730438e+02
5.49824286e+00, 3.55288194e-07, 1.21600397e-01, 3.91656367e+04, 3.46911967e-01, 3.97594818e+02, 8.13735783e-01, 3.91656367e+04, 3.93224731e+02, 3.23463196e+02
5.49824286e+00, -3.66756666e-07, 1.21600397e-01, 3.91680273e+04, 3.46945703e-01, 3.97591461e+02, 8.13784301e-01, 3.91680273e+04, 3.93219025e+02, 3.23530334e+02
5.50019217e+00, 1.08720577e-07, 9.85402986e-02, 3.86258008e+04, 3.41430545e-01, 3.97998840e+02, 8.07287872e-01, 3.86258008e+04, 3.94023438e+02, 3.21230774e+02
5.50019217e+00, -1.20186726e-07, 9.85402986e-02, 3.86190117e+04, 3.41355145e-01, 3.98007965e+02, 8.07137907e-01, 3.86190117e+04, 3.94040588e+02, 3.21203217e+02
5.50116587e+00, 2.75529061e-07, 8.70101973e-02, 3.87710000e+04, 3.42597932e-01, 3.98071747e+02, 8.06649148e-01, 3.87710000e+04, 3.94168518e+02, 3.21036011e+02
5.50116587e+00, -2.86996766e-07, 8.70101973e-02, 3.87742227e+04, 3.42636943e-01, 3.98070435e+02, 8.06671083e-01, 3.87742227e+04, 3.94165985e+02, 3.21085602e+02
5.50214005e+00, 4.42337523e-07, 7.54801035e-02, 3.20810000e+04, 2.88427532e-01, 3.94606445e+02, 8.65583360e-01, 3.20810000e+04, 3.87338745e+02, 3.41361755e+02
5.50214005e+00, -4.53806791e-07, 7.54801035e-02, 3.20844805e+04, 2.88434863e-01, 3.94628723e+02, 8.65259588e-01, 3.20844805e+04, 3.87378479e+02, 3.41354004e+02
