##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 14:53:53
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.30333281e+00, -3.18602011e-09, 1.46872699e-01, 1.39971531e+05, 1.48774445e+00, 3.62960358e+02, 1.35494173e+00, 1.39971531e+05, 3.27699066e+02, 4.91789886e+02
5.30333281e+00, -8.27907609e-09, 1.46872699e-01, 1.39971484e+05, 1.48774409e+00, 3.62960297e+02, 1.35494161e+00, 1.39971484e+05, 3.27699005e+02, 4.91789825e+02
5.34300900e+00, 1.25787200e-10, 1.69047996e-01, 1.39340500e+05, 1.48054814e+00, 3.63020172e+02, 1.35410845e+00, 1.39340500e+05, 3.27807098e+02, 4.91568451e+02
5.34300900e+00, -1.15909140e-08, 1.69047996e-01, 1.39340797e+05, 1.48055100e+00, 3.63020233e+02, 1.35410762e+00, 1.39340797e+05, 3.27807220e+02, 4.91568298e+02
5.38268518e+00, 3.43759443e-09, 1.91223294e-01, 1.37534031e+05, 1.46796763e+00, 3.62201599e+02, 1.36547482e+00, 1.37534031e+05, 3.26330444e+02, 4.94576965e+02
5.38268518e+00, -1.49027528e-08, 1.91223294e-01, 1.37534422e+05, 1.46797109e+00, 3.62201691e+02, 1.36547351e+00, 1.37534422e+05, 3.26330566e+02, 4.94576691e+02
5.41363621e+00, 3.13008321e-03, 2.02310994e-01, 7.00935938e+04, 8.59013498e-01, 3.37939606e+02, 1.69833493e+00, 7.00935938e+04, 2.84084259e+02, 5.73750488e+02
5.41363621e+00, -3.13008018e-03, 2.02310994e-01, 8.79024453e+04, 1.02633095e+00, 3.46255310e+02, 1.58446527e+00, 8.79024453e+04, 2.98232086e+02, 5.48507385e+02
5.42474794e+00, 3.17499950e-03, 2.02310994e-01, 6.05425742e+04, 7.70506501e-01, 3.31699951e+02, 1.78428352e+00, 6.05425742e+04, 2.73682861e+02, 5.91816772e+02
5.42474794e+00, -3.17499624e-03, 2.02310994e-01, 8.20275469e+04, 9.90511775e-01, 3.40528595e+02, 1.66288829e+00, 8.20275469e+04, 2.88445648e+02, 5.66249756e+02
5.43586111e+00, 3.17499950e-03, 2.02310994e-01, 6.21896172e+04, 7.86381721e-01, 3.32770386e+02, 1.76947975e+00, 6.21896172e+04, 2.75452576e+02, 5.88820862e+02
5.43586111e+00, -3.17499624e-03, 2.02310994e-01, 8.43967969e+04, 1.00994039e+00, 3.42067932e+02, 1.64179575e+00, 8.43967969e+04, 2.91060089e+02, 5.61596008e+02
5.44697285e+00, 3.17499950e-03, 2.02310994e-01, 6.21381719e+04, 7.78093934e-01, 3.34400452e+02, 1.74697030e+00, 6.21381719e+04, 2.78157257e+02, 5.84164429e+02
5.44697285e+00, -3.17499624e-03, 2.02310994e-01, 8.67944375e+04, 1.02962101e+00, 3.43566406e+02, 1.62128150e+00, 8.67944375e+04, 2.93615112e+02, 5.57003723e+02
5.45808601e+00, 3.17499950e-03, 2.02310994e-01, 6.14915273e+04, 7.64817715e-01, 3.35604431e+02, 1.73038065e+00, 6.14915273e+04, 2.80173523e+02, 5.80388550e+02
5.45808601e+00, -3.17499624e-03, 2.02310994e-01, 8.55870391e+04, 1.01319051e+00, 3.43908112e+02, 1.61658132e+00, 8.55870391e+04, 2.94200195e+02, 5.55913025e+02
5.46919823e+00, 3.17499950e-03, 2.02310994e-01, 6.25208320e+04, 7.56087244e-01, 3.40274780e+02, 1.66622019e+00, 6.25208320e+04, 2.88017578e+02, 5.66955505e+02
5.46919823e+00, -3.17499624e-03, 2.02310994e-01, 8.65264688e+04, 1.02216363e+00, 3.44284760e+02, 1.61141670e+00, 8.65264688e+04, 2.94844055e+02, 5.54782227e+02
5.48031092e+00, 3.17499950e-03, 2.02310994e-01, 6.44527266e+04, 7.84367204e-01, 3.39210266e+02, 1.68078530e+00, 6.44527266e+04, 2.86217224e+02, 5.70103455e+02
5.48031092e+00, -3.17499624e-03, 2.02310994e-01, 8.56365625e+04, 1.04141593e+00, 3.39331940e+02, 1.67926455e+00, 8.56365625e+04, 2.86425323e+02, 5.69778992e+02
5.49142313e+00, 3.43447056e-07, 2.02310994e-01, 2.83442676e+04, 3.31618577e-01, 3.45953888e+02, 1.58834767e+00, 2.83442676e+04, 2.97709991e+02, 5.49486633e+02
5.49142313e+00, -3.54910497e-07, 2.02310994e-01, 2.83463340e+04, 3.31644744e-01, 3.45953918e+02, 1.58834720e+00, 2.83463340e+04, 2.97710052e+02, 5.49490112e+02
5.49337196e+00, 1.01430423e-07, 1.79250807e-01, 3.54757031e+04, 3.18005800e-01, 3.95231873e+02, 8.73408318e-01, 3.54757031e+04, 3.88561707e+02, 3.45185394e+02
5.49337196e+00, -1.12896494e-07, 1.79250807e-01, 3.54786719e+04, 3.18044335e-01, 3.95222687e+02, 8.73537362e-01, 3.54786719e+04, 3.88545532e+02, 3.45212891e+02
5.49434614e+00, 2.63377416e-07, 1.67720795e-01, 3.52721602e+04, 3.16645920e-01, 3.94938446e+02, 8.78066063e-01, 3.52721602e+04, 3.87988220e+02, 3.46695648e+02
5.49434614e+00, -2.74845007e-07, 1.67720795e-01, 3.52730469e+04, 3.16653430e-01, 3.94938507e+02, 8.78064334e-01, 3.52730469e+04, 3.87988403e+02, 3.46719696e+02
5.49531984e+00, 4.30185906e-07, 1.56190693e-01, 3.58142891e+04, 3.22789282e-01, 3.94155731e+02, 8.90891671e-01, 3.58142891e+04, 3.86452911e+02, 3.51052887e+02
5.49531984e+00, -4.41655061e-07, 1.56190693e-01, 3.58150938e+04, 3.22797060e-01, 3.94154419e+02, 8.90909433e-01, 3.58150938e+04, 3.86450836e+02, 3.51103394e+02
5.49629498e+00, 2.16712639e-08, 1.44660607e-01, 3.61290898e+04, 3.27162445e-01, 3.93232300e+02, 9.05921578e-01, 3.61290898e+04, 3.84640930e+02, 3.56221313e+02
5.49629498e+00, -3.31365939e-08, 1.44660607e-01, 3.61274102e+04, 3.27146858e-01, 3.93232910e+02, 9.05914366e-01, 3.61274102e+04, 3.84641876e+02, 3.56224396e+02
5.49726915e+00, 1.88479731e-07, 1.33130506e-01, 3.59164453e+04, 3.26377034e-01, 3.92542969e+02, 9.16804135e-01, 3.59164453e+04, 3.83295013e+02, 3.59829773e+02
5.49726915e+00, -1.99946626e-07, 1.33130506e-01, 3.59175000e+04, 3.26386780e-01, 3.92542664e+02, 9.16806996e-01, 3.59175000e+04, 3.83294647e+02, 3.59857239e+02
5.49824286e+00, 3.55288194e-07, 1.21600397e-01, 3.63585586e+04, 3.32030833e-01, 3.91570618e+02, 9.32162166e-01, 3.63585586e+04, 3.81400421e+02, 3.64922516e+02
5.49824286e+00, -3.66756666e-07, 1.21600397e-01, 3.63593828e+04, 3.32038134e-01, 3.91570343e+02, 9.32164848e-01, 3.63593828e+04, 3.81400024e+02, 3.64979858e+02
5.50019217e+00, 1.08720577e-07, 9.85402986e-02, 3.77331211e+04, 3.43629628e-01, 3.92100677e+02, 9.22765315e-01, 3.77331211e+04, 3.82432739e+02, 3.61754639e+02
5.50019217e+00, -1.20186726e-07, 9.85402986e-02, 3.77259609e+04, 3.43562961e-01, 3.92103241e+02, 9.22734141e-01, 3.77259609e+04, 3.82436707e+02, 3.61772156e+02
5.50116587e+00, 2.75529061e-07, 8.70101973e-02, 3.82769805e+04, 3.45242709e-01, 3.94010712e+02, 8.91259670e-01, 3.82769805e+04, 3.86167328e+02, 3.51106110e+02
5.50116587e+00, -2.86996766e-07, 8.70101973e-02, 3.82783555e+04, 3.45255673e-01, 3.94010437e+02, 8.91263008e-01, 3.82783555e+04, 3.86166901e+02, 3.51142914e+02
5.50214005e+00, 4.42337523e-07, 7.54801035e-02, 3.12635313e+04, 2.88435727e-01, 3.89510468e+02, 9.63383913e-01, 3.12635313e+04, 3.77401733e+02, 3.75037903e+02
