##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:38:08
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.30333281e+00, -3.18602011e-09, 1.46872699e-01, 1.39978594e+05, 1.48776662e+00, 3.62966827e+02, 1.35485172e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39978594e+05, 3.27710754e+02, 3.25105786e+00, 4.18248000e+05, 4.48098083e+02, 4.91766083e+02, 4.71138092e+02, 5.37068329e+01, 1.30300964e+02
5.30333281e+00, -8.27907609e-09, 1.46872699e-01, 1.39978563e+05, 1.48776615e+00, 3.62966766e+02, 1.35485184e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39978563e+05, 3.27710693e+02, 3.25105762e+00, 4.18247906e+05, 4.48098022e+02, 4.91765991e+02, 4.71138000e+02, 5.37066879e+01, 1.30301041e+02
5.34300900e+00, 1.25787200e-10, 1.69047996e-01, 1.39343703e+05, 1.48052061e+00, 3.63027740e+02, 1.35400331e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39343703e+05, 3.27820770e+02, 3.23249960e+00, 4.15860125e+05, 4.48097656e+02, 4.91540497e+02, 4.70541809e+02, 5.40341988e+01, 1.31463943e+02
5.34300900e+00, -1.15909140e-08, 1.69047996e-01, 1.39344000e+05, 1.48052335e+00, 3.63027802e+02, 1.35400248e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39344000e+05, 3.27820862e+02, 3.23250341e+00, 4.15860625e+05, 4.48097687e+02, 4.91540344e+02, 4.70541718e+02, 5.40331841e+01, 1.31464111e+02
5.38268518e+00, 3.43759443e-09, 1.91223294e-01, 1.37537906e+05, 1.46796370e+00, 3.62207184e+02, 1.36539745e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37537906e+05, 3.26340454e+02, 3.24153900e+00, 4.17023250e+05, 4.48097931e+02, 4.94556549e+02, 4.73518158e+02, 5.50689774e+01, 1.31659119e+02
5.38268518e+00, -1.49027528e-08, 1.91223294e-01, 1.37538281e+05, 1.46796727e+00, 3.62207275e+02, 1.36539614e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37538281e+05, 3.26340637e+02, 3.24154329e+00, 4.17023813e+05, 4.48097900e+02, 4.94556305e+02, 4.73517914e+02, 5.50679359e+01, 1.31659592e+02
5.41363621e+00, 3.13008321e-03, 2.02310994e-01, 7.01046094e+04, 8.59110713e-01, 3.37947113e+02, 1.69823158e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.01046094e+04, 2.84096893e+02, 2.68011689e+00, 3.44762031e+05, 4.48053192e+02, 5.73728333e+02, 5.68672668e+02, 7.51440353e+01, -1.13577843e+01
5.41363621e+00, -3.13008018e-03, 2.02310994e-01, 8.78956719e+04, 1.02626836e+00, 3.46252502e+02, 1.58450389e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.78956719e+04, 2.98227264e+02, 2.83634686e+00, 3.64870406e+05, 4.48067108e+02, 5.48516235e+02, 5.43841431e+02, 3.69539928e+00, 7.13645248e+01
5.42474794e+00, 3.17499950e-03, 2.02310994e-01, 6.05567539e+04, 7.70642579e-01, 3.31709503e+02, 1.78415132e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.05567539e+04, 2.73698639e+02, 2.64035201e+00, 3.39649531e+05, 4.48056885e+02, 5.91789978e+02, 5.81839844e+02, 8.47791977e+01, -6.70095673e+01
5.42474794e+00, -3.17499624e-03, 2.02310994e-01, 8.20235391e+04, 9.90460277e-01, 3.40529114e+02, 1.66288114e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.20235391e+04, 2.88446533e+02, 2.97668242e+00, 3.82924875e+05, 4.48069092e+02, 5.66248230e+02, 5.61717834e+02, 4.48969917e+01, 5.56270828e+01
