##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:53:21
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.30333281e+00, -3.18602011e-09, 1.46872699e-01, 1.39295609e+05, 1.48561263e+00, 3.62342682e+02, 1.36336875e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39295609e+05, 3.26584625e+02, 3.27390194e+00, 4.21161781e+05, 4.48071411e+02, 4.94006378e+02, 4.53929993e+02, 1.19843575e+02, 1.53711975e+02
5.30333281e+00, -8.27907609e-09, 1.46872699e-01, 1.39295609e+05, 1.48561239e+00, 3.62342651e+02, 1.36336839e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39295609e+05, 3.26584625e+02, 3.27390075e+00, 4.21161656e+05, 4.48071320e+02, 4.94006165e+02, 4.53929901e+02, 1.19842995e+02, 1.53712036e+02
5.34300900e+00, 1.25787200e-10, 1.69047996e-01, 1.38894391e+05, 1.48139191e+00, 3.62335663e+02, 1.36346197e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38894391e+05, 3.26572021e+02, 3.26491117e+00, 4.20004563e+05, 4.48070679e+02, 4.94027008e+02, 4.52154419e+02, 1.22647621e+02, 1.56769272e+02
5.34300900e+00, -1.15909140e-08, 1.69047996e-01, 1.38894797e+05, 1.48139620e+00, 3.62335693e+02, 1.36346161e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38894797e+05, 3.26572083e+02, 3.26492000e+00, 4.20005719e+05, 4.48070648e+02, 4.94026947e+02, 4.52154083e+02, 1.22647949e+02, 1.56769867e+02
5.38268518e+00, 3.43759443e-09, 1.91223294e-01, 1.37347172e+05, 1.46798778e+00, 3.61952972e+02, 1.36877322e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37347172e+05, 3.25882568e+02, 3.25249767e+00, 4.18408125e+05, 4.48071136e+02, 4.95431366e+02, 4.53429657e+02, 1.21348984e+02, 1.58518784e+02
5.38268518e+00, -1.49027528e-08, 1.91223294e-01, 1.37347750e+05, 1.46799350e+00, 3.61953064e+02, 1.36877227e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37347750e+05, 3.25882690e+02, 3.25250769e+00, 4.18409438e+05, 4.48071167e+02, 4.95431183e+02, 4.53429077e+02, 1.21349136e+02, 1.58519745e+02
5.41363621e+00, 3.13008321e-03, 2.02310994e-01, 5.94773633e+04, 7.28318810e-01, 3.38053192e+02, 1.69653738e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.94773633e+04, 2.84276520e+02, 2.26742887e+00, 2.91645156e+05, 4.48007050e+02, 5.73270752e+02, 5.61539063e+02, 1.10888664e+02, -3.18894691e+01
5.41363621e+00, -3.13008018e-03, 2.02310994e-01, 9.31918125e+04, 1.05664504e+00, 3.51386536e+02, 1.51409805e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.31918125e+04, 3.07134796e+02, 2.71319604e+00, 3.49009969e+05, 4.48043732e+02, 5.31959473e+02, 5.16660095e+02, 4.07369843e+01, 1.19932213e+02
5.42474794e+00, 3.17499950e-03, 2.02310994e-01, 4.81174453e+04, 6.16682410e-01, 3.30533020e+02, 1.80013120e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.81174453e+04, 2.71762146e+02, 2.14999342e+00, 2.76534563e+05, 4.47998108e+02, 5.94903320e+02, 5.69481873e+02, 1.47771088e+02, -8.81139603e+01
5.42474794e+00, -3.17499624e-03, 2.02310994e-01, 8.73432969e+04, 1.03359532e+00, 3.43982452e+02, 1.61547172e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.73432969e+04, 2.94326965e+02, 2.95306778e+00, 3.79869281e+05, 4.48048035e+02, 5.55677185e+02, 5.36314514e+02, 7.31145020e+01, 1.25690720e+02
